n,accuracy,spam_precision,spam_recall,spam_f1,macro_f1,confusion_matrix_ham_spam,condition,train_n,heldout_n,changed_train_rows,prediction_changes_vs_baseline
1114,0.9910233393177738,0.9929078014184397,0.9395973154362416,0.9655172413793104,0.9801786413294901,"[[964, 1], [9, 140]]",original_baseline,4460,1114,0,0
1114,0.9883303411131059,0.9857142857142858,0.9261744966442953,0.9550173010380623,0.9741564070945856,"[[963, 2], [11, 138]]",deduplicate_exact_training,4128,1114,332,5
1114,0.9892280071813285,0.9790209790209791,0.9395973154362416,0.958904109589041,0.9763528812408016,"[[962, 3], [9, 140]]",filter_high_confidence_label_errors,4454,1114,6,2
1114,0.9892280071813285,0.9790209790209791,0.9395973154362416,0.958904109589041,0.9763528812408016,"[[962, 3], [9, 140]]",training_label_overlay,4460,1114,0,2
1114,0.9892280071813285,0.9858156028368794,0.9328859060402684,0.9586206896551724,0.9762143695953881,"[[963, 2], [10, 139]]",deduplicate_plus_overlay,4128,1114,332,4
1109,0.9909828674481514,0.9927007299270072,0.9379310344827586,0.9645390070921984,0.979686858918,"[[963, 1], [9, 136]]",exclude_exact_leakage,4460,1109,0,0
1052,0.9904942965779469,0.989010989010989,0.9090909090909092,0.9473684210526316,0.9710718803277788,"[[952, 1], [9, 90]]",exclude_exact_and_near_leakage,4460,1052,0,0
