condition,prediction_column,original_n,excluded_rows,excluded_ham,excluded_spam,n,accuracy,spam_precision,spam_recall,spam_f1,macro_f1,confusion_matrix_ham_spam
original_heldout,word_pred,1114,0,0,0,1114,0.9910233393177738,0.9929078014184397,0.9395973154362416,0.9655172413793104,0.9801786413294901,"[[964, 1], [9, 140]]"
original_heldout,char_pred,1114,0,0,0,1114,0.9874326750448833,0.9927007299270073,0.912751677852349,0.951048951048951,0.9719199441135589,"[[964, 1], [13, 136]]"
exclude_exact_leakage,word_pred,1114,5,1,4,1109,0.9909828674481514,0.9927007299270073,0.9379310344827586,0.9645390070921985,0.9796868589180001,"[[963, 1], [9, 136]]"
exclude_exact_leakage,char_pred,1114,5,1,4,1109,0.9873760144274121,0.9924812030075187,0.9103448275862069,0.9496402877697842,0.9712118964622116,"[[963, 1], [13, 132]]"
exclude_exact_and_reviewed_near_leakage,word_pred,1114,63,13,50,1051,0.9904852521408183,0.989010989010989,0.9090909090909091,0.9473684210526315,0.9710691477648095,"[[951, 1], [9, 90]]"
exclude_exact_and_reviewed_near_leakage,char_pred,1114,63,13,50,1051,0.9866793529971456,0.9885057471264368,0.8686868686868687,0.9247311827956989,0.9587121467214402,"[[951, 1], [13, 86]]"
