n,accuracy,spam_precision,spam_recall,spam_f1,macro_f1,confusion_matrix_ham_spam,condition,excluded_rows,excluded_spam
1114,0.9910233393177738,0.9929078014184397,0.9395973154362416,0.9655172413793104,0.9801786413294901,"[[964, 1], [9, 140]]",original_heldout,0,0
1109,0.9909828674481514,0.9927007299270073,0.9379310344827586,0.9645390070921985,0.9796868589180001,"[[963, 1], [9, 136]]",exclude_exact_leakage,5,4
1052,0.9904942965779467,0.989010989010989,0.9090909090909091,0.9473684210526315,0.9710718803277787,"[[952, 1], [9, 90]]",exclude_exact_and_near_leakage,62,50
