n,accuracy,spam_precision,spam_recall,spam_f1,macro_f1,confusion_matrix_ham_spam,condition
4460,0.9820627802690582,0.9923954372623575,0.8729096989966555,0.9288256227758007,0.9592819750615792,"[[3858, 4], [76, 522]]",word_oof
4460,0.9827354260089686,0.9943074003795066,0.8762541806020067,0.9315555555555556,0.9608387142755328,"[[3859, 3], [74, 524]]",char_oof
1114,0.9910233393177738,0.9929078014184397,0.9395973154362416,0.9655172413793104,0.9801786413294901,"[[964, 1], [9, 140]]",word_heldout
1114,0.9874326750448833,0.9927007299270073,0.912751677852349,0.951048951048951,0.9719199441135589,"[[964, 1], [13, 136]]",char_heldout
